CECaseNumber__c,AlarmId__c,RCA_Reason__c,RCA_Comments__c,Delay_Reason__c,Delay_Comments__c,Status,Date_Time_Resolved__c,Material1__c,Material2__c,Material3__c,Material4__c,Material5__c,Material_1_Quantity__c,Material_2_Quantity__c,Material_3_Quantity__c,Material_4_Quantity__c,Material_5_Quantity__c,GIS_Updation_Required__c,GIS_Updated__c,Material_Consumed__c,Customer_TID__c
MUM_170724_221286,,Fiber cut,11-10-Fiber Cut,BMC issue/tree cutting,,Closed,17-07-2024 15:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221285,,Fiber cut,17-08-fiber,BMC issue/tree cutting,,Closed,17-07-2024 15:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221281,,Fiber cut,17-08-fiber,BMC issue/tree cutting,,Closed,17-07-2024 15:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_220955,,Fiber cut,17-Fiber Cut,BMC issue/tree cutting,,Closed,17-07-2024 20:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_220954,,Fiber cut,17-Fiber Cut,BMC issue/tree cutting,,Closed,17-07-2024 20:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_220953,,Fiber cut,17-Fiber Cut,BMC issue/tree cutting,,Closed,17-07-2024 20:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_220659,,Fiber cut,17-16- fiber,BMC issue/tree cutting,,Closed,17-07-2024 09:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_220640,,Fiber cut,17-16- fiber,BMC issue/tree cutting,,Closed,17-07-2024 09:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_220636,,Fiber cut,17-16- fiber,BMC issue/tree cutting,,Closed,17-07-2024 09:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221646,,Fiber cut,17-16- fiber,BMC issue/tree cutting,,Closed,17-07-2024 18:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221645,,Fiber cut,17-16- fiber,BMC issue/tree cutting,,Closed,17-07-2024 18:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221644,,Fiber cut,17-16- fiber,BMC issue/tree cutting,,Closed,17-07-2024 18:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_222205,,Fiber cut,17-16- fiber,BMC issue/tree cutting,,Closed,18-07-2024 02:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_222200,,Fiber cut,17-16- fiber,BMC issue/tree cutting,,Closed,18-07-2024 02:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_222197,,Fiber cut,17-16- fiber,BMC issue/tree cutting,,Closed,18-07-2024 02:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221857,,Fiber cut,17-16-08-fiber Cut,BMC issue/tree cutting,,Closed,17-07-2024 19:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221854,,Fiber cut,17-16-08-fiber Cut,BMC issue/tree cutting,,Closed,17-07-2024 19:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221055,,Fiber cut,17-Fiber Cut,BMC issue/tree cutting,,Closed,18-07-2024 01:13,,,,,,,,,,,False,No,FALSE,
MUM_170724_221053,,Fiber cut,17-Fiber Cut,BMC issue/tree cutting,,Closed,18-07-2024 01:13,,,,,,,,,,,False,No,FALSE,
MUM_170724_221051,,Fiber cut,17-Fiber Cut,BMC issue/tree cutting,,Closed,18-07-2024 01:13,,,,,,,,,,,False,No,FALSE,
